City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
245,Kasongo,CD,88.39,broken clouds,-4.45,26.6667,Guest Hôtel
248,Sao Joao Da Barra,BR,75.29,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
249,Farafenni,GM,87.89,broken clouds,13.5667,-15.6,Eddy's Hotel
252,Belmonte,BR,77.5,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
253,Pemangkat,ID,81.23,overcast clouds,1.1667,108.9667,Ramah Kost KITA
259,Ipira,BR,75.45,overcast clouds,-12.1583,-39.7372,Pallace Hotel e Restaurante
260,Porto Novo,BJ,78.62,light rain,6.4965,2.6036,Tour Eiffel Hotel Benin
261,Micheweni,TZ,75.18,clear sky,-4.9667,39.8333,
262,Lobnya,RU,75.18,clear sky,56.0097,37.4819,Iceberg House
263,Severnyy,RU,86.04,clear sky,50.677,36.5532,Full House North Mini-Hotel
264,Areosa,PT,80.67,scattered clouds,41.7178,-8.8571,Hotel Flôr de Sal
268,Cockburn Town,TC,85.96,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
269,Kalabo,ZM,80.94,clear sky,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
270,Barcelos,PT,81.28,clear sky,41.5388,-8.6151,Hotel Do Terço
271,Kinkala,CG,86.31,few clouds,-4.3614,14.7644,Hotel la Pepeche Kinkala
272,Takoradi,GH,80.78,broken clouds,4.8845,-1.7554,Raybow International Hotel
273,Russell,US,87.08,clear sky,32.3502,-85.1999,Macs
277,Birao,CF,75.7,moderate rain,10.2849,22.7882,
279,Portobelo,PA,84.85,broken clouds,9.55,-79.65,Scuba Portobelo
280,Tari,NG,88.97,overcast clouds,12.4086,4.4914,
282,Umtata,ZA,82.96,clear sky,-31.5889,28.7844,LLZZ Boutique Lodge
284,Chatra,IN,78.78,broken clouds,24.2167,84.8667,GOPI BHOJNALAY
289,Nishihara,JP,80.65,mist,26.1842,127.7558,Minshuku Agaihama
290,Porto Santo,PT,77.38,scattered clouds,33.072,-16.3415,Hotel Porto Santo & Spa
292,Boa Vista,BR,84.18,overcast clouds,2.8197,-60.6733,Aipana Plaza Hotel
