City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
221,Los Llanos De Aridane,ES,28.6585,-17.9182,71.35,91,75,5.75,broken clouds,2021-08-08 15:33:19
222,Kudahuvadhoo,MV,2.6708,72.8944,83.84,73,100,14.23,light rain,2021-08-08 15:42:02
223,West Wendover,US,40.7391,-114.0733,69.01,28,1,0.0,clear sky,2021-08-08 15:42:02
224,San Cristobal,VE,7.7669,-72.225,73.58,48,69,0.45,broken clouds,2021-08-08 15:37:40
225,Lebu,CL,-37.6167,-73.65,50.07,64,49,11.27,scattered clouds,2021-08-08 15:32:24
226,Kenai,US,60.5544,-151.2583,53.1,94,90,9.22,moderate rain,2021-08-08 15:34:06
227,Half Moon Bay,US,37.4636,-122.4286,69.06,88,90,4.0,overcast clouds,2021-08-08 15:38:20
228,Roxana,CR,10.2753,-83.7513,93.96,85,69,1.79,broken clouds,2021-08-08 15:42:04
229,Manono,CD,-7.3,27.4167,86.9,21,23,4.03,few clouds,2021-08-08 15:42:05
230,Carbonia,IT,39.1672,8.5222,88.75,42,96,5.99,overcast clouds,2021-08-08 15:42:05
231,Airai,TL,-8.9266,125.4092,54.61,88,42,2.17,scattered clouds,2021-08-08 15:42:05
232,Colac,AU,-38.3333,143.5833,47.84,66,100,2.89,overcast clouds,2021-08-08 15:42:06
233,Lubango,AO,-14.9172,13.4925,75.33,10,87,7.11,overcast clouds,2021-08-08 15:42:06
234,Kaya,BF,13.0917,-1.0844,91.87,40,99,7.2,overcast clouds,2021-08-08 15:42:06
235,Bang Sai,TH,14.2124,100.4966,87.01,74,100,7.83,light rain,2021-08-08 15:42:06
236,Ganzhou,CN,28.8184,115.4327,82.33,74,99,2.62,light rain,2021-08-08 15:42:07
237,La Primavera,CO,5.4906,-70.4092,86.34,63,43,4.18,scattered clouds,2021-08-08 15:42:07
238,Lumphat,KH,13.4878,106.9816,76.17,97,100,0.67,overcast clouds,2021-08-08 15:32:27
239,Pueblo Nuevo,MX,23.3833,-105.3833,69.15,60,60,2.68,broken clouds,2021-08-08 15:42:08
240,Bengkulu,ID,-3.8004,102.2655,76.87,92,62,4.27,broken clouds,2021-08-08 15:37:49
241,Agadir,MA,30.4202,-9.5982,81.05,52,2,8.75,clear sky,2021-08-08 15:42:08
242,Brae,GB,60.3964,-1.353,58.91,77,86,9.95,overcast clouds,2021-08-08 15:32:59
243,Taltal,CL,-25.4,-70.4833,58.55,61,10,8.01,clear sky,2021-08-08 15:42:09
244,Luderitz,NA,-26.6481,15.1594,59.4,75,64,7.14,broken clouds,2021-08-08 15:42:09
245,Kasongo,CD,-4.45,26.6667,88.39,27,73,1.03,broken clouds,2021-08-08 15:42:10
246,Ossora,RU,59.2353,163.0719,49.24,70,48,9.57,scattered clouds,2021-08-08 15:42:10
247,Itaituba,BR,-4.2761,-55.9836,93.36,49,0,4.61,clear sky,2021-08-08 15:42:10
248,Sao Joao Da Barra,BR,-21.6403,-41.0511,75.29,67,97,10.36,overcast clouds,2021-08-08 15:33:07
249,Farafenni,GM,13.5667,-15.6,87.89,60,77,10.02,broken clouds,2021-08-08 15:42:11
250,Svetlyy,RU,54.675,20.1347,73.45,76,42,10.25,scattered clouds,2021-08-08 15:42:11
251,Novyy Urgal,RU,51.0736,132.5642,47.64,95,100,2.55,overcast clouds,2021-08-08 15:42:11
252,Belmonte,BR,-15.8631,-38.8828,77.5,72,86,14.38,overcast clouds,2021-08-08 15:42:12
253,Pemangkat,ID,1.1667,108.9667,81.23,78,99,1.34,overcast clouds,2021-08-08 15:42:13
254,Talnakh,RU,69.4865,88.3972,64.33,44,0,5.39,clear sky,2021-08-08 15:42:09
255,Kurilsk,RU,45.2333,147.8833,54.28,81,100,14.97,overcast clouds,2021-08-08 15:33:31
256,Sur,OM,22.5667,59.5289,90.43,57,0,6.31,clear sky,2021-08-08 15:42:13
257,Camacha,PT,33.0833,-16.3333,74.62,57,40,12.66,scattered clouds,2021-08-08 15:32:56
258,Agadez,NE,19.75,10.25,104.74,14,40,17.2,scattered clouds,2021-08-08 15:42:14
259,Ipira,BR,-12.1583,-39.7372,75.45,60,92,8.99,overcast clouds,2021-08-08 15:42:14
